id_properti,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,jumlah_lantai,usia_bangunan,jarak_pusat_kota,kondisi_bangunan,tipe_properti,garasi,kota,harga_jual
PROP-3341,175.0,135.0,3,2,3,15.0,6.1,Cukup,Rumah,1,Jakarta,1505.7
PROP-2216,357.0,183.0,4,4,3,21.0,20.4,Baik,Rumah,0,Surabaya,1040.3
PROP-3683,186.0,154.0,5,4,1,10.0,2.0,Cukup,Rumah,1,Medan,840.6
PROP-4725,710.0,600.0,4,3,2,14.0,13.1,Baik,Rumah,1,Bandung,2712.9
PROP-1908,278.0,212.0,3,3,3,1.0,22.6,Baik,Rumah,1,Surabaya,920.1
PROP-0085,443.0,287.0,3,2,1,0.0,13.1,Cukup,Rumah,1,Jakarta,2606.0
PROP-0228,106.0,70.0,3,2,1,32.0,5.8,Buruk,Villa,1,Surabaya,590.9
PROP-0297,318.0,150.0,1,1,1,25.0,8.4,Baik,Villa,1,Surabaya,1484.8
PROP-1002,508.0,250.0,5,4,2,17.0,15.8,Baik,Rumah,1,Jakarta,2561.1
PROP-2139,611.0,517.0,3,3,1,35.0,,Baik,Rumah,1,Jakarta,3839.5
PROP-0712,477.0,276.0,3,3,1,35.0,25.8,Cukup,Rumah,1,Jakarta,2166.7
PROP-2802,785.0,453.0,1,1,3,7.0,7.7,Cukup,Villa,0,Surabaya,4259.5
PROP-2528,482.0,311.0,3,3,2,27.0,13.6,Cukup,Rumah,1,Semarang,1274.3
PROP-3753,521.0,290.0,2,2,2,33.0,21.1,Cukup,Rumah,1,Jakarta,2419.4
PROP-3322,125.0,57.0,3,3,2,14.0,20.8,Cukup,Rumah,0,Surabaya,327.3
PROP-3182,293.0,237.0,3,2,1,20.0,29.6,Baik,Rumah,1,Semarang,884.3
PROP-4184,205.0,108.0,4,3,2,0.0,4.2,Baik,Rumah,1,Jakarta,1518.9
PROP-1616,592.0,468.0,1,1,1,16.0,24.5,Cukup,Rumah,0,Surabaya,2288.3
PROP-3025,449.0,244.0,4,3,1,34.0,22.6,Cukup,Rumah,1,Semarang,1053.4
PROP-1414,765.0,691.0,2,2,2,5.0,24.7,Baik,Townhouse,0,Medan,2821.1
PROP-0764,107.0,65.0,5,4,2,12.0,11.6,Baik,Townhouse,0,Jakarta,931.5
PROP-0656,605.0,457.0,3,3,3,5.0,26.8,Baik,Townhouse,1,Surabaya,2635.0
PROP-4798,314.0,253.0,3,2,1,31.0,22.7,Cukup,Rumah,1,Surabaya,1300.7
PROP-3850,627.0,367.0,3,3,1,30.0,19.6,Buruk,Villa,1,Medan,2025.5
PROP-4154,241.0,113.0,3,2,2,21.0,24.8,Baik,Rumah,1,Jakarta,908.1
PROP-0469,726.0,535.0,4,3,2,13.0,14.8,Cukup,Rumah,0,Semarang,2140.9
PROP-0158,268.0,150.0,4,3,1,1.0,27.7,Cukup,Townhouse,0,Surabaya,823.4
PROP-1296,180.0,141.0,3,3,3,21.0,13.4,Cukup,Villa,1,Jakarta,1514.9
PROP-0498,570.0,510.0,2,2,1,32.0,29.8,Cukup,Townhouse,1,Semarang,1909.3
PROP-4741,755.0,608.0,2,2,1,40.0,29.7,Cukup,Rumah,1,Bandung,2464.8
PROP-2941,788.0,457.0,3,3,1,32.0,11.2,Buruk,Rumah,1,Jakarta,4054.4
PROP-3457,643.0,518.0,3,2,1,31.0,7.2,Baik,Townhouse,1,Semarang,2501.0
PROP-0374,738.0,614.0,3,2,1,11.0,7.3,Buruk,Villa,1,Medan,3524.5
PROP-0080,184.0,141.0,2,1,2,5.0,4.0,Baik,Rumah,0,Surabaya,932.8
PROP-1554,190.0,140.0,3,3,1,30.0,3.7,Baik,Townhouse,1,Jakarta,1461.5
PROP-1670,297.0,244.0,3,2,3,1.0,20.1,Baik,Townhouse,0,Jakarta,2381.1
PROP-2132,677.0,621.0,3,3,1,29.0,4.6,Baik,Rumah,1,Surabaya,3434.9
PROP-4440,328.0,236.0,5,4,3,30.0,19.8,Cukup,Rumah,1,Bandung,1113.8
PROP-0466,186.0,164.0,3,2,1,23.0,29.1,Baik,Rumah,1,Surabaya,550.5
PROP-0249,414.0,231.0,2,1,2,3.0,14.4,Buruk,Townhouse,1,Bandung,1329.2
PROP-0932,743.0,568.0,4,3,1,15.0,21.4,Buruk,Villa,0,Bandung,3282.2
PROP-1336,577.0,319.0,3,3,1,28.0,29.7,Baik,Townhouse,1,Bandung,1652.8
PROP-4525,62.0,40.0,2,1,2,33.0,18.5,Baik,Villa,1,Medan,150.0
PROP-1339,215.0,98.0,3,2,3,24.0,19.4,Buruk,Rumah,1,Jakarta,783.1
PROP-1407,554.0,367.0,4,4,3,15.0,13.6,Cukup,Townhouse,1,Jakarta,4447.0
PROP-1091,289.0,164.0,6,4,1,2.0,16.2,Cukup,Villa,1,Bandung,1550.6
PROP-4210,304.0,258.0,3,2,2,5.0,1.5,Cukup,Rumah,1,Surabaya,1677.9
PROP-0743,127.0,109.0,3,3,2,13.0,28.5,Baik,Townhouse,1,Jakarta,706.7
PROP-2324,63.0,40.0,4,4,1,40.0,6.9,Buruk,Rumah,0,Surabaya,220.4
PROP-3602,270.0,157.0,4,4,2,39.0,17.5,Buruk,Rumah,1,Medan,729.6
PROP-2124,383.0,218.0,4,3,3,34.0,27.0,Baik,Villa,0,Surabaya,1712.1
PROP-2095,770.0,678.0,4,3,2,3.0,28.3,,Villa,1,Bandung,4490.1
PROP-0241,200.0,141.0,2,2,2,1.0,2.7,Baik,Rumah,1,Semarang,923.2
PROP-2352,131.0,86.0,4,4,1,4.0,2.0,Cukup,Rumah,1,Bandung,645.0
PROP-1371,410.0,357.0,3,3,1,6.0,26.5,Baik,Rumah,1,Surabaya,1693.2
PROP-1058,,101.0,3,3,1,21.0,29.8,Cukup,Rumah,0,Jakarta,485.1
PROP-4817,727.0,650.0,2,2,2,5.0,21.9,Baik,Rumah,1,Surabaya,3240.9
PROP-0200,323.0,250.0,3,2,1,11.0,25.6,Baik,Rumah,1,Surabaya,1128.1
PROP-2281,466.0,387.0,2,2,3,36.0,25.9,Cukup,Rumah,1,Medan,1202.3
PROP-4750,426.0,356.0,4,4,1,4.0,13.5,Cukup,Townhouse,0,Medan,1451.2
PROP-2221,382.0,312.0,5,4,2,6.0,25.9,Baik,Rumah,1,Bandung,1542.7
PROP-4772,220.0,136.0,4,3,2,16.0,19.2,Cukup,Rumah,1,Semarang,674.3
PROP-2820,678.0,544.0,4,4,3,24.0,24.2,Baik,Rumah,0,Bandung,2341.4
PROP-3151,511.0,292.0,3,3,1,18.0,17.0,Baik,Villa,1,Medan,1816.7
PROP-4257,223.0,131.0,5,4,1,32.0,3.7,Baik,Rumah,0,Bandung,791.2
PROP-3108,136.0,89.0,3,3,2,8.0,22.0,Cukup,Rumah,0,Jakarta,618.1
PROP-1974,542.0,348.0,1,1,1,15.0,18.4,Baik,Rumah,1,Jakarta,3431.5
PROP-1376,111.0,96.0,4,3,2,23.0,1.9,Cukup,Rumah,1,Medan,522.3
PROP-3969,257.0,192.0,6,4,2,31.0,11.4,Cukup,Villa,1,Medan,1388.9
PROP-4063,284.0,139.0,6,4,3,11.0,26.4,Cukup,Villa,1,Bandung,1261.6
PROP-4446,270.0,173.0,3,2,2,1.0,24.5,Baik,Villa,1,Bandung,1178.8
PROP-3558,312.0,225.0,3,3,1,8.0,7.6,Cukup,Rumah,1,Semarang,1124.4
PROP-0965,641.0,338.0,2,2,2,20.0,13.9,Baik,Rumah,1,Bandung,1820.7
PROP-0180,189.0,165.0,2,2,2,33.0,9.3,Cukup,Villa,1,Surabaya,1333.3
PROP-3699,594.0,498.0,5,4,1,3.0,9.0,Baik,Villa,1,Jakarta,6088.9
PROP-3822,452.0,390.0,2,1,1,27.0,24.7,Baik,Villa,1,Medan,1897.2
PROP-4879,436.0,279.0,4,4,2,8.0,23.6,Baik,Villa,1,Medan,1657.1
PROP-3900,145.0,73.0,4,4,1,11.0,6.0,Baik,Townhouse,1,Semarang,661.8
PROP-4488,554.0,505.0,3,2,2,36.0,14.6,Cukup,Townhouse,0,Jakarta,4669.0
PROP-3239,608.0,499.0,5,4,1,13.0,27.2,Buruk,Rumah,1,Surabaya,2705.6
PROP-2975,360.0,175.0,2,2,1,20.0,9.4,Baik,Rumah,0,Bandung,990.9
PROP-3581,180.0,129.0,3,3,3,0.0,26.1,Baik,Rumah,0,,1073.6
PROP-2888,550.0,406.0,2,1,2,18.0,8.4,Buruk,Rumah,0,Semarang,1685.0
PROP-2576,229.0,122.0,3,3,2,8.0,8.3,Buruk,Rumah,1,Surabaya,894.7
PROP-1420,364.0,249.0,3,2,1,5.0,4.0,Baik,Townhouse,0,Jakarta,2824.7
PROP-3908,655.0,442.0,2,2,2,0.0,1.6,Cukup,Rumah,1,Bandung,2476.1
PROP-4674,309.0,257.0,2,2,2,16.0,16.0,Baik,Rumah,0,Medan,865.9
PROP-4903,636.0,470.0,5,4,3,16.0,28.4,Baik,Villa,0,Jakarta,6075.8
PROP-1861,746.0,567.0,5,4,3,33.0,26.1,Cukup,Townhouse,1,Medan,2906.4
PROP-0009,370.0,223.0,3,2,1,13.0,29.7,,Rumah,0,Semarang,821.9
PROP-2895,709.0,412.0,3,3,1,,2.5,Baik,Rumah,1,Semarang,2191.4
PROP-2848,724.0,619.0,4,4,1,19.0,17.0,Buruk,Townhouse,1,Semarang,
PROP-3665,741.0,509.0,2,1,1,15.0,15.4,Baik,Rumah,1,Jakarta,3812.3
PROP-0145,452.0,254.0,4,3,1,34.0,29.7,Cukup,Rumah,1,Semarang,969.1
PROP-2105,435.0,231.0,2,2,2,16.0,20.9,Baik,Villa,1,Semarang,1480.5
PROP-3144,213.0,112.0,1,1,2,25.0,29.3,Baik,Villa,0,Jakarta,739.7
PROP-0842,737.0,464.0,2,1,1,3.0,6.3,Baik,Villa,1,Medan,3047.5
PROP-1129,712.0,633.0,1,1,2,28.0,15.3,Buruk,Rumah,1,Semarang,2102.5
PROP-0152,573.0,519.0,3,2,2,37.0,6.1,Baik,Rumah,1,Jakarta,4184.3
PROP-3592,165.0,108.0,4,3,3,0.0,10.2,Baik,Villa,1,Bandung,1175.2
PROP-1053,697.0,421.0,3,2,2,17.0,4.3,Buruk,Townhouse,1,Semarang,2370.6
PROP-1591,582.0,352.0,6,4,1,1.0,17.7,Cukup,Rumah,1,Medan,1494.2
PROP-3009,341.0,256.0,5,4,1,38.0,24.5,Buruk,Rumah,1,Bandung,1110.6
PROP-2030,799.0,382.0,3,3,1,23.0,25.5,Buruk,Rumah,1,Jakarta,3804.4
PROP-3419,93.0,,4,3,3,4.0,24.7,Baik,Rumah,0,Jakarta,547.5
PROP-1808,224.0,106.0,1,1,2,11.0,14.0,Cukup,Villa,1,Semarang,773.2
PROP-2697,481.0,359.0,4,3,2,38.0,18.7,Cukup,Rumah,0,Jakarta,2759.9
PROP-3040,194.0,147.0,3,3,3,30.0,23.2,Baik,Townhouse,0,Surabaya,659.2
PROP-0473,336.0,270.0,2,1,1,25.0,13.9,Cukup,Rumah,1,Semarang,935.1
PROP-3290,211.0,130.0,3,3,3,37.0,17.1,Cukup,Rumah,0,Bandung,510.1
PROP-4075,536.0,402.0,2,2,3,27.0,24.3,Cukup,Villa,1,Surabaya,2954.6
PROP-3497,706.0,358.0,4,4,1,22.0,8.1,Cukup,Rumah,1,Bandung,1865.5
PROP-0280,243.0,141.0,2,1,2,40.0,25.4,Baik,Rumah,0,Medan,316.8
PROP-1742,239.0,205.0,3,3,1,18.0,16.1,Baik,Rumah,1,Semarang,819.1
PROP-4625,260.0,119.0,4,3,1,35.0,4.3,Baik,Villa,1,Surabaya,1342.4
PROP-2887,151.0,103.0,3,2,2,25.0,15.5,Cukup,Villa,0,Surabaya,747.9
PROP-1942,382.0,292.0,4,3,1,38.0,28.1,Cukup,Rumah,0,Semarang,935.7
PROP-0101,568.0,490.0,3,3,1,25.0,15.5,Baik,Villa,0,Medan,2714.7
PROP-2805,602.0,390.0,2,1,1,6.0,7.8,Buruk,Villa,1,Jakarta,4421.0
PROP-3571,460.0,393.0,4,4,2,33.0,19.3,Cukup,Rumah,0,Semarang,1502.4
PROP-3685,601.0,389.0,3,3,1,37.0,0.7,Baik,Villa,1,Jakarta,5263.4
PROP-3662,64.0,44.0,4,3,3,21.0,9.5,Baik,Rumah,1,Jakarta,688.7
PROP-0531,386.0,219.0,3,3,1,35.0,17.6,Cukup,Villa,1,Medan,1154.2
PROP-1887,799.0,596.0,3,2,1,28.0,1.6,Baik,Villa,0,Medan,3422.4
PROP-0682,147.0,69.0,3,3,1,7.0,28.5,Cukup,Rumah,0,Jakarta,336.1
PROP-3795,593.0,496.0,2,2,2,16.0,16.5,Baik,Rumah,0,Jakarta,4342.3
PROP-3945,517.0,431.0,3,2,1,20.0,5.8,Baik,Townhouse,1,Bandung,2331.1
PROP-4667,250.0,204.0,5,4,1,7.0,5.6,Cukup,Villa,0,Surabaya,2201.8
PROP-2019,110.0,100.0,6,4,1,32.0,5.8,Cukup,Rumah,1,Surabaya,743.0
PROP-1097,401.0,248.0,2,1,3,25.0,23.2,Cukup,Rumah,1,Medan,922.0
PROP-0830,370.0,173.0,4,4,1,15.0,24.8,Buruk,Townhouse,0,Semarang,747.9
PROP-2806,313.0,218.0,2,2,1,22.0,13.3,Cukup,Rumah,0,Semarang,789.1
PROP-3830,661.0,516.0,2,2,2,38.0,10.5,Baik,Villa,1,Surabaya,3936.1
PROP-4382,448.0,392.0,3,2,1,11.0,17.1,Baik,Rumah,0,Semarang,1476.1
PROP-3892,79.0,47.0,3,2,1,11.0,12.2,Buruk,Rumah,1,Medan,189.6
PROP-0765,194.0,92.0,3,2,2,30.0,19.4,Cukup,Rumah,0,Semarang,311.8
PROP-2768,201.0,135.0,4,3,3,12.0,28.7,Cukup,Villa,1,Jakarta,1630.7
PROP-4329,560.0,280.0,4,4,3,21.0,26.1,,Rumah,1,Medan,1322.8
PROP-3296,545.0,425.0,2,1,1,39.0,28.8,Baik,Townhouse,1,Medan,1555.0
PROP-2195,618.0,325.0,3,2,1,40.0,10.6,Cukup,Rumah,1,Jakarta,2882.1
PROP-2358,199.0,151.0,3,3,1,8.0,6.5,Baik,Rumah,1,Surabaya,1017.0
PROP-3426,669.0,465.0,4,3,1,21.0,3.2,Cukup,Rumah,1,Bandung,2439.3
PROP-3980,490.0,260.0,3,2,1,28.0,2.3,Baik,Rumah,1,Bandung,1385.9
PROP-0912,116.0,103.0,5,4,2,11.0,11.8,Cukup,Townhouse,1,Bandung,653.7
PROP-3146,668.0,473.0,1,1,3,6.0,3.4,Baik,Rumah,1,Medan,2095.7
PROP-1000,213.0,152.0,5,4,2,30.0,7.6,Cukup,Rumah,1,Surabaya,1111.8
PROP-3654,217.0,176.0,6,4,1,38.0,20.8,Baik,Villa,1,Semarang,928.8
PROP-2484,337.0,194.0,6,4,1,11.0,20.5,Cukup,Rumah,1,Semarang,1007.0
PROP-4077,523.0,473.0,2,1,2,29.0,1.3,Baik,Rumah,1,Semarang,2046.5
PROP-2371,645.0,335.0,4,4,2,39.0,3.3,Baik,Rumah,0,Surabaya,2198.9
PROP-4839,382.0,296.0,3,2,2,26.0,23.2,Buruk,Rumah,1,Jakarta,1959.0
PROP-0034,128.0,65.0,2,1,1,19.0,11.1,Baik,Rumah,1,Jakarta,623.0
PROP-3790,634.0,513.0,5,4,3,40.0,5.4,Cukup,Townhouse,1,Bandung,3429.8
PROP-1021,515.0,378.0,3,2,2,15.0,20.7,Baik,Villa,1,Bandung,2564.3
PROP-1648,698.0,416.0,5,4,3,2.0,12.7,Baik,Rumah,0,Jakarta,4154.1
PROP-0734,362.0,224.0,3,3,1,23.0,11.5,Cukup,Rumah,1,Semarang,968.6
PROP-4583,793.0,630.0,6,4,3,10.0,4.0,Buruk,Rumah,0,Surabaya,3216.8
PROP-3275,260.0,134.0,4,3,2,33.0,10.8,Baik,Rumah,1,Semarang,651.9
PROP-1621,260.0,207.0,4,4,2,1.0,4.8,Cukup,Rumah,1,Bandung,1277.0
PROP-3136,577.0,424.0,4,3,1,27.0,18.8,Baik,Rumah,1,Jakarta,3139.4
PROP-2690,513.0,281.0,3,3,1,33.0,23.1,Baik,Townhouse,1,Medan,1259.6
PROP-2708,150.0,123.0,3,3,1,40.0,11.9,Baik,Rumah,1,Semarang,513.7
PROP-0298,781.0,464.0,2,2,2,20.0,27.9,Cukup,Rumah,1,Medan,1884.1
PROP-2340,749.0,362.0,3,2,2,23.0,25.6,Baik,Rumah,1,Surabaya,2240.3
PROP-0654,479.0,422.0,3,3,1,1.0,6.8,Cukup,Villa,1,Semarang,2818.4
PROP-3775,351.0,230.0,2,1,2,30.0,16.5,Baik,Villa,1,Semarang,1453.3
PROP-1256,477.0,321.0,5,4,1,33.0,5.2,Buruk,Villa,1,Jakarta,3992.1
PROP-4521,435.0,252.0,3,2,1,32.0,25.0,,Villa,1,Jakarta,2643.1
PROP-0231,691.0,497.0,4,3,1,17.0,26.8,Baik,Rumah,1,Jakarta,3778.6
PROP-3277,546.0,323.0,2,1,2,25.0,21.6,Baik,Townhouse,1,Bandung,1704.3
PROP-3231,399.0,268.0,4,4,2,15.0,22.2,Cukup,Rumah,1,Medan,1008.5
PROP-0692,416.0,350.0,4,3,1,1.0,15.3,Buruk,Townhouse,1,Surabaya,2304.3
PROP-2755,454.0,409.0,3,3,2,40.0,19.2,Cukup,Rumah,1,Jakarta,3146.7
PROP-4864,87.0,72.0,5,4,1,0.0,1.1,Buruk,Rumah,0,Semarang,520.5
PROP-0970,618.0,497.0,2,2,2,30.0,16.6,Cukup,Rumah,1,Semarang,1912.0
PROP-0634,189.0,138.0,2,1,3,23.0,26.9,Baik,Rumah,0,Jakarta,815.8
PROP-4093,682.0,373.0,3,2,2,29.0,22.7,Cukup,Villa,1,Jakarta,4762.7
PROP-4078,317.0,230.0,3,3,1,39.0,2.2,Baik,Townhouse,1,Medan,1055.0
PROP-1322,737.0,504.0,3,3,2,38.0,27.5,Buruk,Rumah,0,Surabaya,2503.0
PROP-1832,685.0,314.0,4,4,1,0.0,13.3,Baik,Rumah,0,Surabaya,2713.8
PROP-2179,417.0,259.0,3,2,1,13.0,2.2,Buruk,Rumah,1,Medan,1122.9
PROP-1418,161.0,119.0,4,4,3,16.0,18.0,Cukup,Townhouse,1,,697.1
PROP-1783,267.0,205.0,4,4,2,37.0,10.8,Baik,Rumah,1,Medan,795.1
PROP-4716,698.0,536.0,2,2,1,18.0,12.2,Cukup,Rumah,1,Bandung,2538.0
PROP-4702,627.0,567.0,3,3,2,34.0,12.1,Baik,Villa,0,Jakarta,7020.9
PROP-4119,696.0,496.0,3,2,2,23.0,9.5,Baik,Rumah,1,Jakarta,5099.9
PROP-1653,559.0,339.0,2,1,2,20.0,20.5,Baik,Villa,0,Medan,1775.2
PROP-1484,384.0,314.0,3,3,2,6.0,8.2,Baik,Rumah,0,Jakarta,3225.4
PROP-2276,583.0,283.0,6,4,2,8.0,19.7,Buruk,Rumah,1,Bandung,1663.2
PROP-0878,296.0,192.0,2,2,2,1.0,18.5,Baik,Townhouse,0,Surabaya,1278.2
PROP-3526,785.0,537.0,3,3,1,33.0,18.5,Buruk,Rumah,1,Jakarta,4193.2
PROP-2017,202.0,122.0,1,1,2,0.0,19.0,Cukup,Rumah,1,Semarang,498.4
PROP-0427,284.0,235.0,4,3,2,6.0,17.3,Baik,Rumah,0,Jakarta,2076.8
PROP-0627,321.0,283.0,2,2,3,8.0,1.5,Baik,Rumah,1,Semarang,1269.9
PROP-1590,661.0,494.0,4,4,2,38.0,26.0,Cukup,Villa,1,Medan,2718.6
PROP-2224,348.0,178.0,2,2,2,7.0,16.7,Baik,Rumah,1,Medan,774.3
PROP-2218,546.0,339.0,5,4,1,4.0,11.4,Baik,Rumah,1,Semarang,1683.8
PROP-4484,149.0,113.0,4,4,1,37.0,9.1,Baik,Rumah,1,Bandung,625.4
PROP-1486,694.0,466.0,2,1,1,39.0,9.4,Baik,Rumah,1,Semarang,1852.1
PROP-1740,496.0,324.0,3,2,2,22.0,28.0,Baik,Rumah,1,Semarang,1129.4
PROP-2481,756.0,551.0,4,3,1,7.0,11.0,Buruk,Rumah,1,Bandung,2503.1
PROP-2585,577.0,366.0,2,2,2,9.0,4.1,Baik,Rumah,1,Jakarta,3504.9
PROP-2894,71.0,58.0,5,4,2,33.0,20.7,Cukup,Rumah,1,Surabaya,247.4
PROP-0150,775.0,503.0,4,3,1,20.0,18.2,Baik,Rumah,1,Medan,2065.0
PROP-0677,501.0,427.0,4,4,3,33.0,16.6,Baik,Villa,0,Semarang,2421.1
PROP-1262,706.0,638.0,6,4,1,38.0,1.2,Buruk,Rumah,0,Medan,2125.5
PROP-4918,156.0,97.0,1,1,1,21.0,1.2,Baik,Villa,0,Medan,687.4
PROP-0013,597.0,309.0,4,4,2,29.0,19.5,Baik,Rumah,1,Surabaya,1742.8
PROP-1834,371.0,168.0,5,4,1,40.0,20.9,Baik,Villa,1,Semarang,1274.0
